time	V(vout)
Step Information: Run=1  (Step: 1/250)
1.646257363471255e+00	8.572708e-03
1.708127861579137e+00	8.557876e-03
1.770627861579137e+00	8.551672e-03
1.833127861579137e+00	8.546258e-03
1.895627861579137e+00	8.541567e-03
1.958127861579137e+00	8.537957e-03
2.020627861579137e+00	8.539406e-03
2.079221611579137e+00	8.570746e-03
2.122190361579137e+00	8.708178e-03
2.137815361579137e+00	8.919747e-03
2.141721611579137e+00	9.053750e-03
2.145627861579137e+00	9.303651e-03
2.149595146735387e+00	1.062609e-02
2.149717217047887e+00	1.076421e-02
2.149961357672887e+00	1.148805e-02
2.150037651618199e+00	1.210222e-02
2.150068169196324e+00	1.253165e-02
2.150091057379918e+00	1.310977e-02
2.150102501471715e+00	1.360096e-02
2.150117760260777e+00	1.498864e-02
2.150120717707570e+00	1.553262e-02
2.150126632601156e+00	1.738762e-02
2.150127873459349e+00	1.810079e-02
2.150130355175736e+00	2.034270e-02
2.150130975604833e+00	2.128715e-02
2.150132216463027e+00	2.408415e-02
2.150132526677575e+00	2.517958e-02
2.150133147106672e+00	2.818959e-02
2.150133302213946e+00	2.925468e-02
2.150133612428494e+00	3.190954e-02
2.150134168371137e+00	4.079540e-02
2.150134507747341e+00	5.321286e-02
2.150134774571527e+00	7.598465e-02
2.150134977822425e+00	1.166383e-01
2.150135177266332e+00	2.056358e-01
2.150135389600710e+00	3.785179e-01
2.150135694956866e+00	7.184129e-01
2.150136052805323e+00	1.157016e+00
2.150136461035438e+00	1.663011e+00
2.150137277495669e+00	2.671603e+00
2.150137771758589e+00	3.207658e+00
2.150137776021595e+00	3.210608e+00
2.150137784547610e+00	3.216073e+00
2.150137801599637e+00	3.226061e+00
2.150137835703693e+00	3.242374e+00
2.150137903911805e+00	3.262565e+00
2.150137954823188e+00	3.270663e+00
2.150138013643820e+00	3.276190e+00
2.150138075499129e+00	3.279777e+00
2.150138246228573e+00	3.284580e+00
2.150138357115037e+00	3.286096e+00
2.150138510721563e+00	3.287388e+00
2.150138703901345e+00	3.288362e+00
2.150138969042941e+00	3.289155e+00
2.150139320141737e+00	3.289763e+00
2.150139817532211e+00	3.290251e+00
2.150140504832551e+00	3.290619e+00
2.150141589964326e+00	3.290920e+00
2.150143548987028e+00	3.291163e+00
2.150147424472806e+00	3.291334e+00
2.150155175444363e+00	3.291419e+00
2.150170677387477e+00	3.291438e+00
2.150201681273706e+00	3.291438e+00
2.150263689046163e+00	3.291437e+00
2.150387704591077e+00	3.291434e+00
2.150635735680904e+00	3.291436e+00
2.151131797860560e+00	3.291434e+00
2.152123922219870e+00	3.291436e+00
2.154108170938491e+00	3.291434e+00
2.158014420938491e+00	3.291437e+00
2.161920670938491e+00	3.291435e+00
2.165826920938491e+00	3.291438e+00
2.169733170938491e+00	3.291436e+00
2.173639420938491e+00	3.291439e+00
2.177545670938491e+00	3.291437e+00
2.181451920938491e+00	3.291440e+00
2.185358170938491e+00	3.291438e+00
2.189264420938491e+00	3.291440e+00
2.193170670938491e+00	3.291439e+00
2.197076920938491e+00	3.291441e+00
2.200983170938491e+00	3.291440e+00
2.204889420938491e+00	3.291442e+00
2.208795670938491e+00	3.291441e+00
2.212701920938491e+00	3.291443e+00
2.216608170938491e+00	3.291441e+00
2.220514420938491e+00	3.291444e+00
2.224420670938491e+00	3.291442e+00
2.228326920938491e+00	3.291445e+00
2.232233170938491e+00	3.291443e+00
2.236139420938491e+00	3.291445e+00
